-1,Unknown
1041,Unknown
10406779289,Unknown
10414855277,Unknown
10417471635,Unknown
10426528568,Unknown
60415971874,Unknown
26334910464,Абхазия
10400654407,Австралия
10426428818,Австрия
10410450732,Азербайджан
10410522537,Албания
10419531540,Алжир
10400909101,Ангола
10395022134,Ангуилья
10396157513,Андорра
10401935333,Антигуа и Барбуда
10425952826,Антильские о-ва
10401434079,Аргентина
10417232037,Армения
10411136417,Арулько
10410310303,Афганистан
10407551720,Багамские о-ва
10396352095,Бангладеш
10411706009,Барбадос
10406995556,Бахрейн
10423319006,Беларусь
10394079228,Белиз
10408272261,Бельгия
10423428619,Бенин
10414686106,Бермуды
10393631600,Болгария
10409174087,Боливия
10396139862,Босния/Герцеговина
10401213745,Ботсвана
10394346015,Бразилия
10409651721,Британские Виргинские о-ва
10419484235,Бруней
10404060904,Буркина Фасо
10404374905,Бурунди
10404540364,Бутан
10395074682,Валлис и Футуна о-ва
10412870819,Вануату
10406170538,Великобритания
10409956165,Венгрия
10396486463,Венесуэла
10415852578,Вьетнам
10393450888,Габон
10417683703,Гаити
10403255122,Гайана
10399865285,Гамбия
10397676008,Гана
10414930207,Гваделупа
10419428643,Гватемала
10413226540,Гвинея
10403555674,Гвинея-Бисау
10397571399,Германия
10399224101,Гернси о-в
10406295560,Гибралтар
10399351736,Гондурас
10412717530,Гонконг
12850988277547,Государство Палестина
10395467357,Гренада
10408186696,Гренландия
10410192803,Греция
10411801535,Грузия
10398024550,Дания
10392982119,Джерси о-в
10423910652,Джибути
10392890835,Доминиканская республика
10419769233,Другие страны
10402537077,Египет
10422229795,Замбия
10405794288,Западная Сахара
10410213419,Зимбабве
10424542073,Израиль
10415489530,Индия
10394991378,Индонезия
10412777633,Иордания
10405044887,Ирак
10419405993,Иран
10421760139,Ирландия
10420187771,Исландия
10423450359,Испания
10414775922,Италия
10418754394,Йемен
10396069806,Кабо-Верде
10415971874,Казахстан
10410376034,Камбоджа
10417801476,Камерун
10393621238,Канада
10424568667,Катар
10421430373,Кения
10401168591,Кипр
10397251386,Китай
10398961528,Колумбия
10410395082,Конго (Brazzaville)
10414151425,Конго (Kinshasa)
10415000877,Коста-Рика
10397441630,Кот-д'Ивуар
10400805253,Куба
10425905274,Кувейт
10417619125,Кука о-ва
10405644775,Кыргызстан
10422182119,Лаос
10405172143,Латвия
10404932758,Лесото
10426378265,Либерия
10394492001,Ливан
10396193388,Ливия
10408982062,Литва
10402377389,Лихтенштейн
10417321877,Люксембург
10421455265,Маврикий
10402331337,Мавритания
10395008003,Мадагаскар
10403452946,Македония
10424318428,Малайзия
10392808561,Мали
10419625380,Мальдивские о-ва
10418580649,Мальта
10405114643,Мексика
10395900020,Мозамбик
10397135919,Молдова
10406156316,Монако
10400052977,Монголия
10398888997,Морокко
10397507309,Мьянма (Бирма)
10425274320,Мэн о-в
32108942709,Мэн о-в
10398918582,Намибия
10395547483,Непал
10403897067,Нигер
10403906713,Нигерия
10416691196,Нидерланды (Голландия)
10415455264,Никарагуа
10416927951,Новая Зеландия
10417478473,Новая Каледония о-в
10403907946,Норвегия
10407515868,О.А.Э.
10413735381,Оман
10407624473,Пакистан
10417127108,Панама
10414119671,Папуа Новая Гвинея
10397730315,Парагвай
10397453891,Перу
10420475109,Питкэрн о-в
10414896014,Польша
10396879941,Португалия
10413603686,Пуэрто Рико
10395017596,Реюньон
10414533690,Россия
10421210322,Руанда
10416439221,Румыния
10401272160,Сальвадор
10418117522,Самоа
10425587057,Сан-Марино
10402425385,Сан-Томе и Принсипи
10410580805,Саудовская Аравия
10408209383,Свазиленд
10411324250,Святая Люсия
10394159876,Северная Корея
10392716690,Сейшеллы
10399264429,Сенегал
10415402038,Сен-Пьер и Микелон
10413542523,Сент Китс и Невис
10397340738,Сент-Винсент и Гренадины
10403797723,Сербия
10403882021,Сингапур
10421914141,Сирия
10394488739,Словакия
10412478477,Словения
10399243721,Соломоновы о-ва
10402270246,Сомали
10422456146,Судан
10399143993,Суринам
10395431810,США
10419209718,Сьерра-Леоне
10426480621,Таджикистан
10394605145,Тайвань
10420570186,Тайланд
10412575230,Танзания
10406981529,Того
10394734441,Токелау о-ва
10417023658,Тонга
10424065948,Тринидад и Тобаго
10400207372,Тувалу
10399201022,Тунис
10396721959,Туркменистан
10396777362,Туркс и Кейкос
10406909768,Турция
10410627224,Уганда
10423529949,Узбекистан
10424076448,Украина
10426234429,Уругвай
10395058357,Фарерские о-ва
10423400059,Фиджи
10423933302,Филиппины
10405620585,Финляндия
10394185598,Франция
10395243227,Французская Полинезия
10421079332,Хорватия
10393424473,Чад
26287387136,Черногория
10395033214,Чехия
10397429545,Чили
10401982134,Швейцария
10393232409,Швеция
10400772860,Шри-Ланка
10408281200,Эквадор
10413994177,Экваториальная Гвинея
10422842223,Эритрея
10399393757,Эстония
10404948045,Эфиопия
10396767805,ЮАР
10409076784,Южная Корея
26334910720,Южная Осетия
10415454380,Ямайка
10404808625,Япония
